REGIAO:;S;;;;;;;;;;;;;;;;
UF:;PR;;;;;;;;;;;;;;;;
ESTACAO:;CURITIBA;;;;;;;;;;;;;;;;
CODIGO (WMO):;A807;;;;;;;;;;;;;;;;
LATITUDE:;-25,4486111;;;;;;;;;;;;;;;;
LONGITUDE:;-49,23055554;;;;;;;;;;;;;;;;
ALTITUDE:;922,91;;;;;;;;;;;;;;;;
DATA DE FUNDACAO:;28/01/2003;;;;;;;;;;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s);;;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s)
10/05/2023;0300 UTC;0;;16,4;16,6;16,3;91;3,4;;;;;;;;;
10/05/2023;0400 UTC;0;;16,1;16,5;16,1;93;3,3;;;;;;;;;
10/05/2023;0500 UTC;0;;16;16,1;15,9;94;3,5;;;;;;;;;
10/05/2023;0600 UTC;0;;15,9;16;15,9;93;3,2;;;;;;;;;
10/05/2023;0700 UTC;0;;16;16;15,9;93;2,8;;;;;;;;;
10/05/2023;0800 UTC;0;;15,9;16,1;15,8;94;3;;;;;;;;;
10/05/2023;0900 UTC;0;;16,1;16,1;15,9;92;2,6;;;;;;;;;
10/05/2023;1000 UTC;0;2,8;16,1;16,2;16,1;92;3;;;;;;;;;
10/05/2023;1100 UTC;0;145,3;16,6;16,6;16,1;90;3,6;;;;;;;;;
10/05/2023;1200 UTC;0;395,6;17;17;16,5;88;4,1;;;;;;;;;
10/05/2023;1300 UTC;0;415,6;17,4;17,6;16,9;87;3,4;;;;;;;;;
10/05/2023;1400 UTC;0;576,2;18;18,2;17,3;84;2,9;;;;;;;;;
10/05/2023;1500 UTC;0;1262,2;20,2;20,2;18;79;2,9;;;;;;;;;
10/05/2023;1600 UTC;0;2316,9;21,5;21,5;19,5;73;4,6;;;;;;;;;
10/05/2023;1700 UTC;0;2630,4;22,5;22,7;21,1;64;6,3;;;;;;;;;
10/05/2023;1800 UTC;0;2425,4;23,1;23,3;21,9;61;6,7;;;;;;;;;
10/05/2023;1900 UTC;0;1878,2;23;23,5;22,6;58;6;;;;;;;;;
10/05/2023;2000 UTC;0;479,3;21,9;23,1;21,9;63;5;;;;;;;;;
